KW,W,A,B,G,D
1,0.913284877851807,0.081970522915405,0.004744599232788,0,0
2,0.751524069791886,0.210847172587765,0.037628757620349,0,0
3,0.789755312727651,0.163717067332709,0.04662761993964,0,0
4,0.713727234949387,0.244301619605754,0.041871145444859,0,0
5,0.65408262323374,0.325207636716643,0.020709740049617,0,0
6,0.655180961824492,0.326351016360932,0.018468021814576,0,0
7,0.515915439093484,0.473169263456091,0.010815297450425,0,0
8,0.343996140749149,0.64321293984109,0.012690919409762,0,0
9,0.235036496350365,0.756725755995829,0.008237747653806,0,0
10,0.158,0.834130841121495,0.007793493889288,7.56649892163911E-05,0
11,0.126,0.868383555280273,0.005548776711056,6.76680086714153E-05,0
12,0.126,0.869175190777724,0.004753856145478,7.09530767981815E-05,0
13,0.07,0.928077188146106,0.001922811853894,0,0
14,0.033,0.964117575623758,0.002668911459483,0.000106756458379,0.000106756458379
15,0.032,0.963762092899092,0.003927816337427,0.000103363587827,0.000206727175654
16,0.023,0.973110016764459,0.003275775356245,0.000511839899413,0.000102367979883
17,0,0.994911622924478,0.000803427959293,0.001606855918586,0.002678093197643
18,0,0.992025518341308,0.000199362041467,0.004385964912281,0.003389154704944
19,0,0.991805766312595,0,0.003034901365706,0.0051593323217
20,0,0.989441267047954,0.002199736031676,0.002199736031676,0.006159260888693
21,0,0.975447909754479,0.001990710019907,0.005308560053086,0.017252820172528
22,0,0.938136256851997,0.003132341425215,0.007047768206735,0.051683633516053
23,0,0.813953488372093,0,0.002790697674419,0.183255813953488
24,0,0.570068027210884,0,0,0.429931972789116
25,0,0.417355371900826,0,0.002066115702479,0.580578512396694
26,0,0.235668789808917,0,0.002123142250531,0.762208067940552
27,0,0.103080568720379,0,0.002369668246446,0.894549763033175
28,0,0.041011235955056,0.000561797752809,0.000561797752809,0.957865168539326
29,0,0.014641288433382,0,0.000488042947779,0.984870668618838
30,0,0.005460218408736,0,0.001170046801872,0.993369734789392
31,0,0.007793127878144,0,0.00035423308537,0.991852639036486
32,0,0.000875082038941,0.000218770509735,0.000218770509735,0.998687376941588
33,0,0.000827677536832,0,0,0.999172322463168
34,0,0.000416782439567,0,0,0.999583217560434
35,0,0.000238606537819,0.00011930326891,0.00011930326891,0.999522786924362
36,0,0.000301659125189,0,0.000201106083459,0.999497234791352
37,0,0.000226269940038,0,0,0.999773730059962
38,0,0,0,0,1
39,0,0.000129600829445,0,0,0.999870399170555
40,0,0.000133173525103,0,0,0.999866826474897
41,0,0.000109673173942,0,0,0.999890326826058
42,0,0,0,0,1
43,0,4.81162488572391E-05,0,0,0.999951883751143
44,0,4.27222625710258E-05,0,0,0.999957277737429
45,0,0.00022483699318,0,0,0.99977516300682
