"date","cumulativeDoses"
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,1
2021-01-19,2
2021-01-20,3
2021-01-21,3
2021-01-22,3
2021-01-23,3
2021-01-24,3
2021-01-25,4
2021-01-26,4
2021-01-27,4
2021-01-28,4
2021-01-29,4
2021-01-30,4
2021-01-31,4
2021-02-01,4
2021-02-02,9
2021-02-03,9
2021-02-04,9
2021-02-05,9
2021-02-06,10
2021-02-07,10
2021-02-08,10
2021-02-09,10
2021-02-10,10
2021-02-11,10
2021-02-12,10
2021-02-13,10
2021-02-14,10
2021-02-15,10
2021-02-16,24
2021-02-17,24
2021-02-18,24
2021-02-19,24
2021-02-20,25
2021-02-21,25
2021-02-22,25
2021-02-23,25
2021-02-24,25
2021-02-25,25
2021-02-26,25
2021-02-27,25
2021-02-28,25
2021-03-01,25
2021-03-02,26
2021-03-03,26
2021-03-04,26
2021-03-05,26
2021-03-06,26
2021-03-07,26
2021-03-08,27
2021-03-09,27
2021-03-10,27
2021-03-11,27
2021-03-12,27
2021-03-13,27
2021-03-14,27
2021-03-15,27
2021-03-16,27
2021-03-17,27
2021-03-18,27
2021-03-19,27
2021-03-20,27
2021-03-21,27
2021-03-22,28
2021-03-23,28
2021-03-24,29
2021-03-25,29
2021-03-26,29
2021-03-27,29
2021-03-28,29
2021-03-29,29
2021-03-30,31
2021-03-31,31
2021-04-01,32
2021-04-02,32
2021-04-03,32
2021-04-04,32
2021-04-05,33
2021-04-06,34
2021-04-07,37
2021-04-08,37
2021-04-09,49
2021-04-10,53
2021-04-11,53
2021-04-12,55
2021-04-13,56
2021-04-14,58
2021-04-15,62
2021-04-16,62
2021-04-17,62
2021-04-18,62
2021-04-19,63
2021-04-20,64
2021-04-21,64
2021-04-22,65
2021-04-23,65
2021-04-24,65
2021-04-25,65
2021-04-26,65
2021-04-27,66
2021-04-28,66
2021-04-29,66
2021-04-30,67
2021-05-01,67
2021-05-02,67
2021-05-03,67
2021-05-04,118
2021-05-05,118
2021-05-06,118
2021-05-07,120
2021-05-08,125
2021-05-09,125
2021-05-10,125
2021-05-11,125
2021-05-12,130
2021-05-13,137
2021-05-14,139
2021-05-15,139
2021-05-16,139
2021-05-17,140
2021-05-18,140
2021-05-19,140
2021-05-20,142
2021-05-21,143
2021-05-22,144
2021-05-23,145
2021-05-24,145
2021-05-25,147
2021-05-26,147
2021-05-27,149
2021-05-28,149
2021-05-29,149
2021-05-30,149
2021-05-31,151
2021-06-01,154
2021-06-02,160
2021-06-03,161
2021-06-04,162
2021-06-05,170
2021-06-06,170
2021-06-07,172
2021-06-08,174
2021-06-09,175
2021-06-10,183
2021-06-11,186
2021-06-12,197
2021-06-13,197
2021-06-14,198
2021-06-15,198
2021-06-16,206
2021-06-17,211
2021-06-18,225
2021-06-19,225
2021-06-20,225
2021-06-21,228
2021-06-22,235
2021-06-23,237
2021-06-24,242
2021-06-25,246
2021-06-26,249
2021-06-27,250
2021-06-28,254
2021-06-29,259
2021-06-30,272
2021-07-01,284
2021-07-02,293
2021-07-03,296
2021-07-04,300
2021-07-05,306
2021-07-06,318
2021-07-07,332
2021-07-08,351
2021-07-09,385
2021-07-10,393
2021-07-11,396
2021-07-12,407
2021-07-13,430
2021-07-14,448
2021-07-15,521
2021-07-16,577
2021-07-17,587
2021-07-18,588
2021-07-19,595
2021-07-20,626
2021-07-21,645
2021-07-22,667
2021-07-23,685
2021-07-24,687
2021-07-25,693
2021-07-26,710
2021-07-27,737
2021-07-28,791
2021-07-29,827
2021-07-30,851
2021-07-31,869
2021-08-01,873
2021-08-02,893
2021-08-03,927
2021-08-04,1004
2021-08-05,1037
2021-08-06,1096
2021-08-07,1106
2021-08-08,1115
2021-08-09,1152
2021-08-10,1249
2021-08-11,1340
2021-08-12,1390
2021-08-13,1471
2021-08-14,1483
2021-08-15,1493
2021-08-16,1522
2021-08-17,1589
2021-08-18,1718
2021-08-19,1829
2021-08-20,1942
2021-08-21,2012
2021-08-22,2033
2021-08-23,2149
2021-08-24,2315
2021-08-25,2482
2021-08-26,2702
2021-08-27,2910
2021-08-28,2955
2021-08-29,2981
2021-08-30,3094
2021-08-31,3318
2021-09-01,3727
2021-09-02,4442
2021-09-03,5493
2021-09-04,6288
2021-09-05,6335
2021-09-06,6927
2021-09-07,8028
2021-09-08,9010
2021-09-09,10265
2021-09-10,11499
2021-09-11,11996
2021-09-12,12097
2021-09-13,13271
2021-09-14,15304
2021-09-15,17975
2021-09-16,20998
2021-09-17,23939
2021-09-18,24690
2021-09-19,24891
2021-09-20,27105
2021-09-21,31584
2021-09-22,37620
2021-09-23,41682
2021-09-24,45301
2021-09-25,47211
2021-09-26,47663
2021-09-27,50357
2021-09-28,55133
2021-09-29,62931
2021-09-30,70960
2021-10-01,76808
2021-10-02,79325
2021-10-03,79620
2021-10-04,84840
2021-10-05,94441
2021-10-06,108826
2021-10-07,120637
2021-10-08,133497
2021-10-09,138626
2021-10-10,139207
2021-10-11,145557
2021-10-12,155691
2021-10-13,169659
2021-10-14,182911
2021-10-15,194839
2021-10-16,198225
2021-10-17,198745
2021-10-18,207833
2021-10-19,220416
2021-10-20,237467
2021-10-21,253023
2021-10-22,267836
2021-10-23,272587
2021-10-24,273303
2021-10-25,279362
2021-10-26,280969
2021-10-27,295142
2021-10-28,308389
2021-10-29,321385
2021-10-30,326752
2021-10-31,327891
2021-11-01,329205
2021-11-02,342903
2021-11-03,368026
2021-11-04,396585
2021-11-05,433019
2021-11-06,454296
2021-11-07,465417
2021-11-08,494164
2021-11-09,532443
2021-11-10,579366
2021-11-11,632217
2021-11-12,694378
2021-11-13,731841
2021-11-14,756934
2021-11-15,803138
2021-11-16,866080
2021-11-17,943968
2021-11-18,1032695
2021-11-19,1135196
2021-11-20,1197907
2021-11-21,1242098
2021-11-22,1311932
2021-11-23,1399592
2021-11-24,1503398
2021-11-25,1607193
2021-11-26,1726572
2021-11-27,1802958
2021-11-28,1843477
2021-11-29,1911951
2021-11-30,1992573
2021-12-01,2090266
2021-12-02,2190974
2021-12-03,2306632
2021-12-04,2372993
2021-12-05,2403286
2021-12-06,2467971
2021-12-07,2557386
2021-12-08,2598760
2021-12-09,2687008
2021-12-10,2795381
2021-12-11,2852703
2021-12-12,2878197
2021-12-13,2934655
2021-12-14,3006455
2021-12-15,3091604
2021-12-16,3178798
2021-12-17,3268659
2021-12-18,3318513
2021-12-19,3345455
2021-12-20,3400985
2021-12-21,3455587
2021-12-22,3506816
2021-12-23,3534754
2021-12-24,3538267
2021-12-25,3540412
2021-12-26,3548881
2021-12-27,3577923
